student_id,ai_usage_frequency,linear_algebra_score,ideology_score,probability_score,calculus_¢ñ_score,calculus_¢ò_score,Microelectronic_devices_score,physics_¢ñ_score,physics_¢ò_score,signal_and_system_score,modern_history_score,overall_gpa
2022060903028,0.56,98,94,94,95,93,96,98,92,96,90,4
2022020915011,0.49,85,88,96,98,99,99,94,94,97,92,4
2022060902027,0.8,96,97,99,93,97,94,95,91,99,88,4
2022020909004,0.85,95,89,93,94,98,98,96,95,96,87,4
2022020911012,0.43,98,94,93,91,97,99,97,96,89,80,3.95
2022020910017,0.38,82,82,90,93,98,92,98,93,93,83,3.93
2022020906028,0.37,88,88,88,93,89,95,87,95,97,83,3.98
2022020914005,0.21,95,76,93,94,98,98,100,99,95,81,3.9
2022020907028,0.65,95,90,90,95,83,91,91,94,98,83,3.96
2022020914002,0.06,90,82,91,96,92,94,99,92,100,83,3.96
2022150903014,0.66,93,90,87,95,95,92,96,94,88,93,4
2022020916001,0.79,87,86,96,94,94,87,96,88,98,82,3.97
2022020908018,0.61,84,93,94,92,85,82,94,87,98,80,3.91
2022020904018,0.35,82,90,85,93,95,86,86,87,89,88,3.97
2022020911016,0.74,95,96,85,98,93,95,94,85,86,85,4
2022020910001,0.41,96,91,95,93,98,84,97,92,98,75,3.9
2022020909020,0.94,79,95,85,92,92,96,94,91,98,77,3.87
2022020909023,0.6,82,93,93,90,92,96,89,92,91,77,3.9
2022150902015,0.08,96,94,80,94,90,94,92,86,91,93,3.96
2022040906025,0.89,82,91,90,89,75,94,89,84,96,85,3.85
2022050909031,0.62,92,89,91,90,90,75,98,87,94,87,3.89
2022020912002,0.69,89,87,92,93,97,81,93,90,93,79,3.9
2022020911018,0.32,92,91,93,92,91,87,98,84,93,77,3.92
2022020901008,0.36,72,90,88,92,86,87,88,91,96,82,3.85
2022020915024,0.76,91,88,91,94,94,85,90,93,95,80,3.95
2022020915021,0.48,89,88,89,92,92,85,97,88,95,78,3.94
2022020911005,0.22,84,90,85,92,89,89,97,87,96,77,3.92
2022020915028,0.13,82,85,87,92,93,73,90,85,94,84,3.83
2022150902007,0.56,93,89,89,94,88,95,92,87,95,89,4
2022040908004,0.71,86,85,85,92,91,94,93,93,91,85,4
2022020906026,0.06,91,85,85,96,95,85,97,91,93,83,3.98
2022030903016,0.1,85,83,86,90,86,87,90,86,90,93,3.99
2022020915012,0.48,88,82,88,93,92,78,96,89,85,84,3.89
2022020902003,0.09,78,83,86,95,90,86,96,95,93,82,3.9
2022020910016,0.31,78,87,86,94,80,79,91,95,95,84,3.8
2022100903002,0.3,85,79,88,93,90,82,96,94,97,80,3.88
2022020910011,0.34,83,91,85,84,97,87,94,90,87,79,3.91
2022020909013,0.96,69,85,81,87,90,93,91,89,90,78,3.76
2022020902012,0.16,92,85,86,93,94,79,90,91,88,80,3.89
2022020909019,0.73,75,85,87,82,82,90,90,86,95,78,3.77
2022040901028,0.56,84,91,81,93,95,84,91,84,90,88,3.94
2022020902026,0.83,91,91,85,89,87,83,85,85,94,78,3.91
2022020901020,0.52,82,88,85,95,91,85,91,86,85,85,3.97
2022020915013,0.02,91,87,81,80,89,86,86,88,94,85,3.9
2022020909026,0.42,92,92,76,84,79,83,87,75,91,78,3.67
2022020902013,0.81,77,84,83,88,97,82,97,88,93,80,3.83
2022020913013,0.59,87,81,88,90,93,80,92,96,92,77,3.84
2022020916030,0.21,85,87,85,90,86,76,88,94,92,82,3.87
2022020909027,0.6,71,88,82,89,88,80,93,87,86,76,3.71
2022020911022,0.63,73,89,80,87,93,89,93,89,93,81,3.81
2022020903031,0.96,87,92,80,85,91,75,89,87,85,88,3.85
2022020904015,0.23,72,87,80,81,75,83,91,86,88,88,3.65
2022020907020,0.25,58,92,78,88,83,85,94,86,92,79,3.5
2022140901017,0.52,84,64,85,94,98,89,93,89,91,82,3.82
2022020916026,0.73,81,89,83,84,89,75,89,78,85,81,3.72
2022020916016,0.96,82,78,82,92,88,87,77,81,94,77,3.7
2022020901009,0.43,72,85,88,90,83,81,91,83,90,81,3.76
2022020911030,0.03,97,86,90,90,94,80,91,92,79,78,3.82
2022020907022,0.21,81,87,87,92,90,72,91,82,86,77,3.72
2022020903014,0.22,88,82,92,93,88,76,89,80,90,83,3.81
2022150903016,0.56,90,89,75,94,89,92,92,82,84,90,3.88
2022020908014,0.48,75,85,88,90,85,76,90,83,89,82,3.76
2022020916008,0.45,80,85,76,90,83,77,92,86,82,85,3.74
2022150901021,0.71,85,87,82,91,81,73,83,86,80,84,3.71
2022020906005,0.63,85,87,82,90,88,70,88,81,91,85,3.77
2022020901006,0.63,73,86,86,96,88,70,89,95,85,78,3.66
